AP,REG,type,an_total_value_value,an_total_low_value,an_total_high_value,excessrate_total_value_value,excessrate_total_low_value,excessrate_total_high_value,fraction_total_value_value,fraction_total_low_value,fraction_total_high_value
pm25v0,PL621,Attribute,66.70008789,51.63764185,81.13685344,126.4058156,97.86032058,153.7656076,1.323740641,1.024812702,1.610249318
pm25v0,PL619,Attribute,73.79505906,62.78739322,84.509707,203.8129282,173.4107963,233.4058753,1.864096237,1.586038757,2.134751611
pm25v0,PL618,Attribute,25.22878964,19.87688511,30.3322745,135.2460546,106.5556535,162.6047342,1.451306246,1.143438801,1.744880814
pm25v0,PL617,Attribute,65.49223117,54.66325403,75.99271755,180.1260315,150.3424838,209.0061722,1.834629786,1.531285442,2.128769662
pm25v0,PL616,Attribute,61.62285763,49.70240853,73.30331653,159.2168283,128.4175002,189.3961335,1.59209708,1.284124319,1.893866885
pm25v0,PL613,Attribute,107.0619776,89.21939977,124.7322551,140.1935868,116.8294726,163.3320563,1.487738243,1.239803004,1.733276859
pm25v0,PL524,Attribute,119.6553082,102.5793257,137.6691976,203.0784272,174.0968538,233.6519351,2.037474507,1.74671583,2.344200028
pm25v0,PL523,Attribute,86.07906582,74.80759822,97.76284581,231.9418595,201.5701716,263.4247028,2.119682293,1.842132557,2.407382218
pm25v0,PL518,Attribute,104.2593249,86.83606004,121.7897924,188.6314487,157.1088755,220.3477655,2.008047747,1.672484704,2.345670867
pm25v0,PL517,Attribute,113.4813771,90.10354909,134.8125414,168.8378775,134.0558098,200.5750881,1.413466913,1.122291151,1.67914801
pm25v0,PL516,Attribute,63.93539473,52.58604636,75.93678655,142.7305824,117.3940131,169.5228227,1.532105886,1.260142741,1.81969143
pm25v0,PL515,Attribute,85.00135898,68.07698032,101.0635831,148.4382548,118.8828881,176.4881391,1.346080449,1.078072903,1.60043218
pm25v0,PL514,Attribute,109.7646732,85.91192194,134.4931509,173.8691521,136.0863147,213.0389457,1.686063624,1.319675843,2.065898479
pm25v0,PL432,Attribute,122.6310104,106.2203995,139.374661,195.6295372,169.4500904,222.3403047,2.00374823,1.735613847,2.277321208
pm25v0,PL431,Attribute,64.11846674,54.50677409,73.4431574,168.2091317,142.9937063,192.6716325,1.77280993,1.507068546,2.030612295
pm25v0,PL428,Attribute,66.45113228,53.28917154,78.06564571,131.8793229,105.7580515,154.9295103,1.453458022,1.165576606,1.707491392
pm25v0,PL427,Attribute,65.70643336,53.32144982,78.33680632,153.8472658,124.8484896,183.4206832,1.514169513,1.228769587,1.805221624
pm25v0,PL426,Attribute,37.65597694,29.7673789,45.10099284,106.8204761,84.44250591,127.940122,1.132954337,0.895613675,1.356947506
pm25v0,PL424,Attribute,53.00581347,45.07044,59.59952182,130.1634196,110.6769065,146.3552862,1.240881906,1.055116305,1.395238345
pm25v0,PL418,Attribute,77.07524173,58.51920208,96.61702347,131.320343,99.70554346,164.6140008,1.616491312,1.227331248,2.026314975
pm25v0,PL417,Attribute,97.51686119,81.73495499,113.1168507,178.8656055,149.9185041,207.4789984,1.972761196,1.653501569,2.288337877
pm25v0,PL416,Attribute,134.615686,115.3674598,153.936254,201.8389505,172.9786733,230.8077057,2.055753111,1.761817288,2.350790581
pm25v0,PL415,Attribute,69.88773492,52.36296689,88.34365691,126.0666686,94.45442043,159.3587893,1.24666866,0.934061831,1.575883383
pm25v0,PL414,Attribute,124.3497778,105.2703997,143.4983507,190.4404604,161.2205259,219.7663865,2.024346939,1.713752418,2.336065183
pm25v0,PL411,Attribute,60.7560379,49.61358737,71.39209101,149.0705563,121.7314969,175.167133,1.61371231,1.317771129,1.896200262
pm25v0,PL22C,Attribute,41.30574067,16.81460872,68.70091592,107.14595,43.61677542,178.2076102,1.244316822,0.506545038,2.069526361
pm25v0,PL22B,Attribute,139.0147229,92.16428203,183.8266756,196.4320032,130.2301839,259.7540471,1.650670242,1.094367783,2.182764919
pm25v0,PL22A,Attribute,120.1340414,59.42692899,183.2216336,157.4100918,77.86584563,240.074555,1.355170413,0.670366469,2.066823281
